class,precision,recall,ppv,specificity,f1,support
Normal,0.9861482827760348,0.8230821587455773,0.9861482827760348,0.9668532586965215,0.894182492199587,7505
LBBB,0.9540906296548165,0.9862573153226102,0.9540906296548165,0.9956949774336865,0.9694731839782523,807
RBBB,0.9211985799586312,0.9596342737722047,0.9211985799586312,0.9930605573028322,0.9385476840485183,725
APB,0.412675827735312,0.7662884051258297,0.412675827735312,0.9645500156633142,0.5185780030188423,254
PVC,0.4643244369249975,0.9193548387096774,0.4643244369249975,0.8974943944678759,0.6052569819215913,713
